course,unit,node_id,cluster,theme,learning_objective,statement,classification,date,historical_development
APUSH,1,KC-1.2.III.B,"Cultural Interactions Between Europeans, Native Americans,and Africans",SOC,Explain how and why European and Native American perspectives of others developed and changed in the period.,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance.",essential,1600s-1700s,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,KC-1.2.III.C,"Cultural Interactions Between Europeans, Native Americans,and Africans",SOC,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Extended contact with Native Americans and Africans fostered a debate among European religious and political leaders about how non-Europeans should be treated, as well as evolving religious, cultural, and racial justifications for the subjugation of Africans and Native Americans.",essential,1500s-1700s,"Extended contact with Native Americans and Africans fostered a debate among European religious and political leaders about how non-Europeans should be treated, as well as evolving religious, cultural, and racial justifications for the subjugation of Africans and Native Americans."
APUSH,1,c_0jD9,"Cultural Interactions Between Europeans, Native Americans,and Africans",ARC,Explain how and why European and Native American perspectives of others developed and changed in the period.,"The Spanish mission system converted many Native Americans to Catholicism but often used forceful methods, leading to resistance and rejection by indigenous peoples, highlighting tensions in cultural and religious exchanges.",essential,1500s-1700s,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,c_4Dqs,"Cultural Interactions Between Europeans, Native Americans,and Africans",WOR,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Spanish colonizers frequently used forced labor systems like the encomienda to subjugate Native Americans, while French colonists established trade partnerships and military alliances, demonstrating contrasting approaches to European-Native American interactions.",essential,1500-1700,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,c_4kog,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"The Spanish Armada's defeat by England in 1588 marked a shift in Atlantic power, enabling increased English and French colonization in North America.",essential,1588,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_6brj,Causation in the Period 1,MIG,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"English colonists included diverse groups such as religious refugees like the Puritans, adventurers, convicts, and enslaved people. Some were forcibly transported to America, reflecting varied motivations and methods of settlement.",supporting,1600s,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_9eQY,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"In the arid Southwest, societies such as the Anasazi and Pueblo developed sedentary agricultural communities supported by advanced irrigation systems and constructed complex multi-story dwellings.",supporting,900-1300 CE,"The spread of maize cultivation from present day Mexico northward into the present-day American Southwest and beyond supported economic development, settlement, advanced irrigation, and social diversification among societies."
APUSH,1,c_9oqt,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"Spanish colonization in the Americas began by focusing on Caribbean islands, especially Hispaniola, establishing settlements and demanding tribute from indigenous peoples.",essential,1492-1500s,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_9txK,Causation in the Period 1,WOR,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"European exploration of the Americas from 1491 to 1607 was driven by both religious motivations, like spreading Christianity, and economic interests, such as finding new trade routes and resources, often reinforcing each other.",essential,1491 to 1607,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_A2pU,Causation in the Period 1,WOR,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"European nations competed for dominance in exploration and colonization, adopting different approaches: Spain focused on religious conversion and resource extraction after the Reconquista; England and the Netherlands emphasized trade and settlement; France pursued settlement and conversion. This competition led to conflicts and rivalries among European powers.",essential,1492-1700,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_AB4G,Native American Societies Before European Contact,SOC,,"The Inca Empire, spanning over 2,000 miles along the Andes Mountains, governed a vast population through a centralized bureaucracy and developed advanced agricultural techniques to adapt to mountainous terrain.",supporting,1438-1533 CE,
APUSH,1,c_AJqh,Native American Societies Before European Contact,WXT,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"Before European contact, Native American societies maintained extensive trade networks across North America, exchanging valuable materials like copper, mica, and obsidian, and connecting regions from the Great Lakes to the Gulf of Mexico.",supporting,Pre-1492,
APUSH,1,c_APqT,"Columbian Exchange, Spanish Exploration, and Conquest",MIG,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"Native Americans selectively adopted European technologies like metal tools, guns, and horses while maintaining cultural independence; however, European colonization led to the enslavement and, in some regions, extinction of Native populations.",essential,1600-1750,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,c_AylH,"Labor, Slavery, and Caste in the Spanish Colonial System",WOR,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The Spanish Crown and the Catholic Church collaborated in the colonies to convert Native Americans to Christianity using missions and the encomienda system, intertwining religious and political control.",essential,1500s-1700s,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources."
APUSH,1,c_B7gg,European Exploration in the Americas,WXT,Explain the causes of exploration and conquest of the New World by various European nations,"Technological advances in navigation and shipbuilding, including the caravel, compass, and astrolabe, enabled Europeans to undertake trans-Atlantic voyages.",supporting,1400s,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_Cx98,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"Hernán Cortés conquered the Aztec Empire in 1519–1521 with military force and alliances with indigenous peoples, establishing Spanish control over Mexico.",essential,1519-1521,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_Duoq,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"In 1492, after completing the Reconquista by capturing Granada, Spain funded Christopher Columbus's voyage seeking a western route to Asia.",essential,1492,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_GLST,"Labor, Slavery, and Caste in the Spanish Colonial System",WOR,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"Spanish conquistadors like Hernán Cortés and Francisco Pizarro conquered the Aztec and Inca empires between 1519 and 1533, securing vast wealth and territories for Spain and establishing European political control over indigenous populations.",essential,between 1519 and 1533,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources."
APUSH,1,c_GYym,"Labor, Slavery, and Caste in the Spanish Colonial System",WXT,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The Atlantic slave trade expanded significantly after 1550 due to the establishment of sugar plantations in Brazil and the Caribbean, increasing the demand for enslaved African labor.",essential,after 1550,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.
APUSH,1,c_HgAz,"Cultural Interactions Between Europeans, Native Americans,and Africans",WOR,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Native American perspectives toward Europeans shifted from initial openness to increasing wariness and resistance as colonial exploitation and demands intensified, leading to various forms of resistance including military actions.",essential,1600-1750,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,c_J7FM,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"The marriage of Isabella of Castile and Ferdinand of Aragon in 1469 unified Spain, creating a powerful monarchy capable of funding overseas exploration.",supporting,1469,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_Kplx,"Columbian Exchange, Spanish Exploration, and Conquest",WXT,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"European access to American resources and new trade routes contributed to the rise of capitalism—a system emphasizing private ownership and free exchange—over feudalism, where land was the main source of wealth.",supporting,1400s-1500s,"The Columbian Exchange brought new crops to Europe from the Americas, stimulating European population growth, and new sources of mineral wealth, which facilitated the European shift from feudalism to capitalism."
APUSH,1,c_LGjt,"Labor, Slavery, and Caste in the Spanish Colonial System",SOC,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,The encomienda system allowed Spanish colonists to extract forced labor and tribute from Native Americans in agriculture and mining in exchange for supposed protection and Christian instruction.,essential,1500s-1600s,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources."
APUSH,1,c_MZGL,Native American Societies Before European Contact,GEO,,"The Maya civilization, flourishing between 300 and 800 CE on the Yucatán Peninsula, established advanced cities with complex water management systems and monumental architecture.",supporting,300-800 CE,
APUSH,1,c_N1gz,Native American Societies Before European Contact,GEO,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"Native American societies used controlled burning to manage forests, facilitate hunting, and clear land for agriculture, demonstrating sophisticated environmental adaptation.",supporting,Pre-1776,"In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard, some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages."
APUSH,1,c_OqBS,"Columbian Exchange, Spanish Exploration, and Conquest",WOR,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"European exploration created the Atlantic World, a network connecting Europe, Africa, and the Americas through the exchange of goods, people, and ideas, including the forced migration of enslaved Native Americans and Africans to the Americas.",essential,1400-1800,"Improvements in maritime technology and more organized methods for conducting international trade, such as joint-stock companies, helped drive changes to economies in Europe and the Americas."
APUSH,1,c_QFb3,"Cultural Interactions Between Europeans, Native Americans,and Africans",SOC,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Bartolomé de Las Casas, a Spanish priest and former slave owner, advocated for Native American rights and influenced policies like the New Laws of 1542, which attempted to end Indian slavery and forced labor, reflecting changing European perspectives on native treatment.",supporting,1542,"Extended contact with Native Americans and Africans fostered a debate among European religious and political leaders about how non-Europeans should be treated, as well as evolving religious, cultural, and racial justifications for the subjugation of Africans and Native Americans."
APUSH,1,c_QOa1,Native American Societies Before European Contact,MIG,,"The first humans migrated to North America from Asia across the Bering Land Bridge around 16,000 years ago, following large game animals.",essential,16000 BCE,
APUSH,1,c_Qbro,"Cultural Interactions Between Europeans, Native Americans,and Africans",MIG,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Conflicts such as the Powhatan Wars, Pequot War, and King Philip's War were caused by colonial expansion onto Native American lands, resulting in significant casualties, the near destruction of some tribes, and early forms of reservation systems.",essential,1609-1676,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,c_QeZr,"Labor, Slavery, and Caste in the Spanish Colonial System",WXT,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"Plantation economies in Brazil, the Caribbean, and southern North America grew crops like sugar and tobacco that required extensive labor, leading to a reliance on enslaved African workers due to harsh conditions and high mortality rates.",essential,16th-18th centuries,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.
APUSH,1,c_RT4w,"Columbian Exchange, Spanish Exploration, and Conquest",GEO,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"The Columbian Exchange introduced European livestock and crops like wheat, rice, sugar cane, horses, cattle, pigs, and chickens to the Americas, transforming Native agriculture and societies; American crops like corn, potatoes, tomatoes, and cacao were introduced to Europe, Africa, and Asia, leading to population growth and changes in global food systems.",essential,1492-1600s,"The Columbian Exchange brought new crops to Europe from the Americas, stimulating European population growth, and new sources of mineral wealth, which facilitated the European shift from feudalism to capitalism."
APUSH,1,c_SlhY,Causation in the Period 1,WOR,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"The influx of American gold and silver into Europe contributed to the transition from feudalism to capitalism, introducing concepts like joint-stock companies and limited liability, and fundamentally transforming European economies.",supporting,16th century,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_TLOT,"Columbian Exchange, Spanish Exploration, and Conquest",MIG,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"European diseases like smallpox, measles, and influenza devastated Native American populations who lacked immunity due to isolation, causing up to 90% population declines across regions.",essential,1492-1600,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,c_Tqd3,"Cultural Interactions Between Europeans, Native Americans,and Africans",MIG,Explain how and why European and Native American perspectives of others developed and changed in the period.,"Native Americans employed various strategies such as forming alliances, migrating westward, and reorganizing political structures to defend their cultures and sovereignty against increasing European encroachments.",essential,1600-1850,"As European encroachments on Native Americans' lands and demands on their labor increased, native peoples sought to defend and maintain their political sovereignty, economic prosperity, religious beliefs, and concepts of gender relations through diplomatic negotiations and military resistance."
APUSH,1,c_VR9F,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"By the 1600s, European powers including Spain, Portugal, England, France, and the Netherlands had established distinct colonial claims in the Americas, creating a complex pattern of territorial possession.",essential,1600s,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_XVDl,Causation in the Period 1,MIG,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"English colonization was driven by both economic motivations, such as seeking better opportunities due to limited prospects in England, and spiritual motivations, including seeking religious freedom. Factors like the practice of primogeniture and population growth contributed to migration.",essential,1600s,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_XeGO,"Labor, Slavery, and Caste in the Spanish Colonial System",SOC,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"Spanish colonization led to extensive cultural and racial mixing among Europeans, Native Americans, and Africans, resulting in a diverse society with complex social dynamics.",supporting,1492-1800,"The Spanish developed a caste system that incorporated, and carefully defined the status of, the diverse population of Europeans, Africans, and Native Americans in their empire."
APUSH,1,c_YuXy,European Exploration in the Americas,WXT,Explain the causes of exploration and conquest of the New World by various European nations,"Mercantilism was an economic system in which European nations sought to increase their wealth and power by strictly controlling colonial trade, ensuring colonies exported raw materials to the mother country and imported finished goods from it.",supporting,1600-1700s,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_Z4C1,"Columbian Exchange, Spanish Exploration, and Conquest",WOR,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"The Columbian Exchange after 1492 was the widespread transfer of plants, animals, people, culture, technologies, and diseases between the Old World and the New World, leading to lasting global ecological and cultural changes.",supporting,after 1492,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,c_ZXbZ,"Columbian Exchange, Spanish Exploration, and Conquest",WXT,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"Joint-stock companies, such as the Virginia Company and East India Companies, allowed European nations to finance colonial ventures through shared investment and risk, promoting economic growth and shifting colonization from state-funded to private ventures.",essential,1600-1700,"Improvements in maritime technology and more organized methods for conducting international trade, such as joint-stock companies, helped drive changes to economies in Europe and the Americas."
APUSH,1,c_aL3b,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"The Treaty of Tordesillas in 1494 divided the New World between Spain and Portugal, granting Portugal claim to Brazil and Spain claim to most of the Americas.",essential,1494,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_bHAY,"Labor, Slavery, and Caste in the Spanish Colonial System",MIG,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The Middle Passage was the transatlantic journey that forcibly transported enslaved Africans to the Americas under brutal conditions, resulting in high mortality rates.",supporting,1500s-1800s,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.
APUSH,1,c_diuH,"Cultural Interactions Between Europeans, Native Americans,and Africans",WOR,Explain how and why European and Native American perspectives of others developed and changed in the period.,French colonists maintained better relations with Native Americans than other European powers through peaceful missionary work and trade alliances.,essential,1600s-1700s,"Mutual misunderstandings between Europeans and Native Americans often defined the early years of interaction and trade as each group sought to make sense of the other. Over time, Europeans and Native Americans adopted some useful aspects of each other's culture."
APUSH,1,c_e76R,"Columbian Exchange, Spanish Exploration, and Conquest",WOR,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"From 1498 to 1535, Spanish conquest, aided by military advantages like steel weapons, armor, guns, horses, and disease, led to the fall of the Aztec and Inca empires and established Spanish control over vast American territories.",essential,1498 to 1535,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,c_eghE,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,French and Dutch exploration focused on finding a Northwest Passage and developing fur trade networks with Native Americans.,essential,1600-1650,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_f3Nu,"Columbian Exchange, Spanish Exploration, and Conquest",SOC,Explain causes of the Columbian Exchange and its effect on Europe and the Americas during the period after 1492.,"The introduction of horses by Europeans transformed Native American societies on the Great Plains, revolutionizing warfare, hunting, and transportation, and shifting power dynamics among tribes.",essential,1600s-1800s,Spanish exploration and conquest of the Americas were accompanied and furthered by widespread deadly epidemics that devastated native populations and by the introduction of crops and animals not found in the Americas.
APUSH,1,c_ghyq,Native American Societies Before European Contact,SOC,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"The Iroquois Confederacy, formed around 1500, united multiple tribes in the Northeast into a powerful political alliance with a council-based government and matrilineal society, playing a significant role in regional conflicts.",supporting,around 1500,"In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard, some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages."
APUSH,1,c_i7Ve,"Labor, Slavery, and Caste in the Spanish Colonial System",WOR,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"Influenced by the Portuguese model of using enslaved African labor on sugar plantations, the Spanish and other European colonies adopted similar practices in the Americas.",supporting,1500s-1600s,European traders partnered with some West African groups who practiced slavery to forcibly extract slave labor for the Americas. The Spanish imported enslaved Africans to labor in plantation agriculture and mining.
APUSH,1,c_kN6C,Causation in the Period 1,SOC,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"Before European contact in 1491, Native American societies were highly diverse, ranging from nomadic hunter-gatherer bands to complex urban civilizations with advanced agricultural systems, political structures, and extensive trade networks shaped by their environments.",supporting,Pre-1491,"Different native societies adapted to and transformed their environments through innovations in agriculture, resource use, and social structure."
APUSH,1,c_koT2,"Labor, Slavery, and Caste in the Spanish Colonial System",SOC,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The harsh exploitation under the encomienda system led to a drastic decline in the Native American population due to overwork and disease, prompting the Spanish to increasingly rely on enslaved African labor.",essential,1500-1550,"In the encomienda system, Spanish colonial economies marshaled Native American labor to support plantation-based agriculture and extract precious metals and other resources."
APUSH,1,c_miNN,Native American Societies Before European Contact,SOC,Explain how and why various native populations in the period before European contact interacted with the natural environment in North America,"The adoption of maize agriculture in the Mississippi River Valley led to the rise of complex urban societies like Cahokia, characterized by mound-building, hierarchical societies, and extensive trade networks.",essential,800-1400 CE,"In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard, some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages."
APUSH,1,c_oWmf,European Exploration in the Americas,WOR,Explain the causes of exploration and conquest of the New World by various European nations,"In 1453, the Ottoman Empire's conquest of Constantinople blocked traditional European land routes to Asia, prompting European nations to seek alternative maritime routes.",essential,1453,"European nations' efforts to explore and conquer the New World stemmed from a search for new sources of wealth, economic and military competition, and a desire to spread Christianity"
APUSH,1,c_oXRY,Causation in the Period 1,WXT,Explain the effects of the development of transatlantic voyages from 1491 to 1607.,"Advancements in navigation technologies and maritime techniques, including the astrolabe and more accurate charts, enabled successful transatlantic exploration in the 15th century, serving as necessary preconditions for the Age of Exploration.",supporting,15th century,"European expansion into the Western Hemisphere generated intense social, religious, political, and economic competition and changes within European societies."
APUSH,1,c_pRyo,"Labor, Slavery, and Caste in the Spanish Colonial System",SOC,Explain how the growth of the Spanish Empire in North America shaped the development of social and economic structures over time.,"The Spanish colonial caste system, known as the casta system, ranked individuals based on their racial heritage, placing pure-blooded Spaniards (Peninsulares) at the top, mixed-race individuals like Mestizos and Mulattos in the middle, and Native Americans and Africans at the bottom.",supporting,1500s-1800s,"The Spanish developed a caste system that incorporated, and carefully defined the status of, the diverse population of Europeans, Africans, and Native Americans in their empire."
